author,comment,published_at
@ThanmayiR,"Access key for openweather is not working when integrated with airflow, but it is working fine if used without airflow. Any reason why this could be happening?",2023-09-06T23:21:49Z
@AL-kn9wd,"without using of AWS access key it will work too, I think you just had to wait few seconds longer. I liked this project and hope to see more!",2023-08-27T18:20:22Z
@ashraf950901,Help. I can't remote connect my vscode. It says could not establish connection,2023-08-22T15:47:39Z
@stenardt,Excellent tutorial,2023-08-15T06:27:41Z
@ahm_mask5161,Your channel is pure gold,2023-08-13T17:25:32Z
@nikhilkuttan1447,"when I do airflow standalone I get this error ---> ERROR - Triggerer's async thread was blocked for 0.31 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines

Did anyone face this issue ?",2023-08-10T20:56:38Z
@seth_king_codes,"at 58:41 you say to save the python file and it should sync to airflow, ive waited several minutes but dont see any the dag appearing

how do i ensure hte file is saved? or can i see even where it failed to be uploaded to airflow?",2023-08-10T18:48:41Z
@seth_king_codes,amazing man...would love more airflow/dags/python tutorials and also maybe how i can use with scraping data..cheers!,2023-08-10T14:55:58Z
@adeyinkaadegbenro9645,"Ola, you dey try, nice one",2023-08-09T17:16:04Z
@ishanpatil2017,can i add this project in resme?,2023-08-07T10:38:13Z
@ezechukwufidelis5978,you're good. I am looking forward to the next video.,2023-08-04T11:34:50Z
@swarupsaha9451,its not taking me to the airflow login page with 8080,2023-08-02T19:15:24Z
@godswillomonkhodion6393,"each time i trigger my dag, it does not seem to respond. the border line around each task is always white. my might likely be the problem?
i also noticed my auto refresh in the graph page does not stay active like yours. it is deactivated even when i try to activate it",2023-08-01T20:26:17Z
@user-cp5wf1tl7w,"Thank you so much, my father",2023-07-25T09:04:16Z
@murilloalves14,This was just what I was looking for! Now it's time to apply it on my own projects. Keep the good work! Big thank you from Brazil!,2023-07-18T21:20:34Z
@SonuKumar-fn1gn,Thank you so much for the video. ❤😊,2023-07-18T21:05:36Z
@vaibhavverma1340,"It was excellent sessions no doubt, can you please tell us if we want to take multiple country's like, India, America, France, ... etc then how to do that in that case ??????",2023-07-15T11:59:57Z
@user-ci5fy3vr7d,Awesome explanation,2023-07-13T02:42:31Z
@syedhashir5014,i want data for every city in a particular country how can I do it,2023-07-06T15:09:06Z
@syedhashir5014,great project share ur linkedin profile.,2023-07-06T05:32:38Z
@ikennaochei3027,"Great tutorial. However can you show how not to hard code the critical information like key id, secret key and the rest?",2023-07-06T04:40:26Z
@biloloonguesamuel1940,hi i can install panda package in airflow container for docker?,2023-07-03T19:47:50Z
@BI-Rahul,"I have followed the exact same steps this weekend but this time i am encountering error when I say airflow standalone. The same exact setps I followed last weekend was working flawlessly. Below is the error I am getting this time, Any help would be appreciated. Error:

pydantic.errors.PydanticUserError: A non-annotated attribute was detected: `dag_id = <class 'str'>`. All model fields require a type annotation; if `dag_id` is not meant to be a field, you may be able to resolve this error by annotating it as a `ClassVar` or updating `model_config['ignored_types']`.",2023-07-02T08:54:21Z
@Oikawa_13,Thank you so much,2023-06-29T22:40:05Z
@rex2758,Thanks for taking the time to talk this video out!,2023-06-29T00:55:40Z
@JuanCruz-nu4mg,"I was able to do this just fine, I had 2 issues though, the t2.small didnt have enough memory, it kept freezing up, so I had to use a t2.medium instance, then it worked perfectly!",2023-06-28T14:34:40Z
@shwetabhat9981,Amazing !! Looking forward to many more,2023-06-27T05:45:13Z
@devangpatel1341,You are clear!!,2023-06-27T01:44:49Z
@peterkatongole5984,Awesome project. Well explained,2023-06-25T11:13:17Z
@BI-Rahul,"This video is an absolute game-changer for anyone looking to build and automate Python ETL pipelines with Airflow on AWS EC2!

Waiting for part 2!",2023-06-24T16:40:12Z
@SanjeevKumar-dr6qj,thank you for this tutorial,2023-06-24T16:00:59Z
@user-mr6gg5gv3o,"congratulation, good job, part 2, dont forget",2023-06-24T11:33:45Z
@ahmedayodele3299,This tutorial is great. Looking up to more videos. You got a follower.,2023-06-18T15:50:03Z
@user-cg3vz2ug7w,"Thank you for this amazing, well-explained project on apache airflow. I hope you'll make a tuto on apache superset too.",2023-06-18T13:40:48Z
@shanevarnum,Good tutorial,2023-06-17T12:20:15Z
@nehalverma1444,This is awesome! Thanks a lot,2023-06-17T09:12:19Z
@sachasmart7139,Really good tutorial. Nicely done. Looking forward to part 2!,2023-06-15T01:24:38Z
@obinnaasiegbu2052,This is the bomb! Ose!,2023-06-11T09:51:28Z
